author	birth	death	origin
Thomas James Arnold	1804	1887	England
Valdimir Odoevsky	1804	1869	Russian E
Wilhelm Waiblinger	1804	1830	Germany/Italy
William Binnington Boyce	1804	1889	England/Australia
William Gilbert	1804	1890	England
William Sewelll	1804	1874	England
Adalbert Stifter	1805	1868	Austrian E
Auguste Barbier	1805	1882	France
Charles John Palmer	1805	1882	England
Charles Overton	1805	1889	England
David Boswell Reid	1805	1863	Scotland/US
Esteban Echeverría	1805	1851	Argentina
Frederick Denison Maurice	1805	1872	England
Hans Christian Andersen	1805	1875	Denmark
Henry Joseph Steele Bradfield	1805	1852	England
John S. C. Abbott	1805	1877	US
Louis Schneider	1805	1878	Germany
Mary Seacole	1805	1881	Jamaica/England
Philip Stanhope, 5th Earl Stanhope	1805	1875	England
Robert Smith Surtees	1805	1864	England
Sarah Mathew	1805	1890	N Zealand
Thomas Cooper	1805	1892	England
William A. F. Browne	1805	1885	Scotland
William Harrison Ainsworth	1805	1882	England
Charles Lever	1806	1872	Ireland/Italy
Elizabeth Barrett Browning	1806	1861	England/Italy
Emily Bowes	1806	1857	England
Fermín Toro	1806	1865	Venezuela
George Cornewall Lewis	1806	1863	England
Georgiana Chatterton	1806	1876	England
Heinrich Laube	1806	1884	Germany/Austria
James Allen Ransome	1806	1875	England
Johann Karl Wilhelm Vatke	1806	1882	Germany
John Stuart Mill	1806	1873	England/France
John Yonge Akerman	1806	1873	England
Jovan Sterija Popovic'	1806	1856	Austrian E
Julius Sturm	1806	1896	Germany
Lorenz Diefenbach	1806	1883	Germany
Louisa Stanhope	1806	1827	England
Magnús Eiríksson	1806	1881	Iceland/Denmark
Markovic' Koder	1806	1891	Austrian E/Austria-Hungary
Max Stirner	1806	1856	Germany
Nathaniel Parker Willis	1806	1867	US
William Saunders	1806	1851	Wales
Aloysius Bertrand	1807	1841	France
Anne Manning	1807	1879	England
Asahel Grant	1807	1844	US
Charles Tompson	1807	1883	Australia
Elen Egryn	1807	1876	Wales
Elizabeth Margaret Chandler	1807	1834	US
Friedrich Theodor Vischer	1807	1887	Germany/Austria
Helen Blackwood	1807	1867	England
Henry Cockton	1807	1853	England
Henry Wadsworth Longfellow	1807	1882	US
Henry Wilberforce	1807	1873	England
Hilario Ascasubi	1807	1875	Argentina
Jane Wells Webb Loudon	1807	1858	England
Johan Sebastian Welhaven	1807	1873	Norway
John Greenleaf Whittier	1807	1892	US
Jónas Hallgrímsson	1807	1845	Iceland
Juste Olivier	1807	1876	Switzerland
Louis Agassiz	1807	1873	Switzerland/US
Nicholas Michell	1807	1880	England
Nicholas Michell	1807	1880	England
Richard Hildreth	1807	1865	US
Robert Montgomery	1807	1855	England
Thomas Miller	1807	1874	England
Tómas Sæmundsson	1807	1841	Iceland
William Bayle Bernard	1807	1875	US/England
William Brock	1807	1875	England
Wincenty Pol	1807	1872	Austrian E
Anna Maria Bunn	1808	1899	Australia
Caroline Norton	1808	1877	England
Charles Rann Kennedy	1808	1867	England
Charles Tennyson Turner	1808	1879	England
Constantin Negruzzi	1808	1968	Moldavia/Romania
Cyprian Thomas Rust	1808	1895	England
David Strauss	1808	1874	Germany
Franz Theodor Kugler	1808	1858	Germany
Gérard de Nerval	1808	1855	France
Henrik Wergeland	1808	1845	Norway
Henry Thomas Hope	1808	1862	England
John Brent	1808	1882	
John Critchley Prince	1808	1866	England
John Paget	1808	1892	England/Austria-Hungary
Jules Barbey d'Aurevilly	1808	1889	France
Konráð Gíslason	1808	1891	Iceland
Lucretia Maria Davidson	1808	1825	US
Paulin Gagne	1808	19876	France
Philip Meadows Taylor	1808	1876	England/France
Placide Cappeau	1808	1877	France
Shen Shanbao	1808	1862	China
Theodor Mundt	1808	1861	Germany
Wilhelm Weitling	1808	1871	Germany/US
Alexander William Kinglake	1809	1891	England
Alexey Koltsov	1809	1842	Russian E
Alfred, Lord Tennyson	1809	1892	England
Charles Darwin	1809	1882	England
David Bates	1809	1970	US
Ebenezer Henderson	1809	1879	Scotland
Edgar Allan Poe	1809	1849	US
Edward Fitzgerald	1809	1883	England
Emma Parker	1809	1817	Wales
Evan James	1809	1978	Wales
George Ayliffe Poole	1809	1883	England
Giuseppe Giusti	1809	1850	Italy
Heinrich Hoffmann	1809	1894	Germany
James Hildyard	1809	1887	England
John Barr	1809	1889	Scotland/N Zealand
John Heneage Jesse	1809	1874	England
Juan María Gutiérrez	1809	1878	Argentina
Juliusz Sl/owacki	1809	1949	Poland
Margaret Gatty	1809	1873	England
Mark Lemon	1809	1870	England
Mary Cowden Clarke	1809	1898	England
Morris Williams	1809	1874	Wales
Nikolai Gogol	1809	1852	Russian E
Oliver Wendell Holmes Sr.	1809	1894	US
Richard Shilleto	1809	1876	England
Robert Thomas (Ap Vychan)	1809	1980	Wales
Samuel Ajayi Crowther	1809	1891	Sierra Leone/Nigeria
Sophia Elizabeth De Morgan	1809	1892	England
Wilhelm Bauberger	1809	1883	Germany
William Ewart Gladstone	1809	1898	England
Xavier Forneret	1809	1884	France
Alfred de Musset	1810	1857	France
Brynjólfur Pétursson	1810	1851	Iceland
Carl August Hagberg	1810	1864	Sweden
Charles Chorley	1810	1874	England
Elizabeth Gaskell	1810	1865	England
Ellen Young	1810	1872	England/Australia
Esther Nelson	1810	1843	Isle of Man
Ferdinand Freiligrath	1810	1876	Germany
Fritz Reuter	1810	1874	Germany
Grigore Alexandrescu	1810	1885	Wallachia/Romania
Hégésippe Moreau	1810	1838	France
Joanikije Pamucvina	1810	1870	Ottoman E
John Abbs	1810	1880	England/India
Li Shanlan	1810	1882	China
Louise Colet	1810	1876	France
Ludwig August von Frankl	1810	1894	Austrian E
Maurice de Guérin	1810	1839	France
Melchior Meyr	1810	1871	Germany
Nikanor Grujic'	1810	1887	Austria-Hungary
Robert Groome	1810	1889	England
Robert Phillimore	1810	1885	England
Thomas Adolphus Trollope	1810	1892	England/Italy
Thomas Peckett Prest	1810	1869	England
Wentworth Dilke	1810	1869	England/Russian E
Andreas Munch	1811	1884	Norway
Arthur Hallam	1811	1833	England
August Blanche	1811	1868	Sweden
Cecilia Lucy Brightwell	1811	1875	England
Charles Bray	1811	1884	England
Fanny Lewald	1811	1889	Germany
Gilbert Abbott à Beckett	1811	1856	England
Gonçalves de Magalhães	1811	1882	Brazil
Henry James Sr.	1811	1882	US
James Bateman	1811	1897	England
Karl Gutzkow	1811	1878	Germany
Michal Miloslav Hodzva	1811	1870	Austria-Hungary
Roger Edwards	1811	1886	Wales
Théophile Gautier	1811	1872	France
Vincent Eyre	1811	1881	England
Vissarion Belinsky	1811	1848	Russian E
William Makepeace Thackeray	1811	1863	England
Alexander Herzen	1812	1870	Russian E
Anna Louisa Geertruida Bosboom-Toussaint	1812	1886	Netherlands
Bertalan Szemere	1812	1869	Austria-Hungary
Camilla Dufour Crosland	1812	1895	England
Chandos Wren-Hoskyns	1812	1876	England
Charles Dickens	1812	1870	England
Edward Lear	1812	1888	England
Edward Shepherd Creasy	1812	1878	England
Frederick Edward Maning	1812	1883	N Zealand
Georgiana Fullerton	1812	1885	England
Geraldine Jewsbury	1812	1880	England
Hendrik Conscience	1812	1883	French E/Belgium
Henry Mayhew	1812	1887	England
Ilija Garasvanin	1812	1874	Ottoman E/Serbia
Ivan Goncharov	1812	1891	Russian E
János Garay	1812	1853	Hungary
John Forster	1812	1876	England
Jonásv Záborský	1812	1876	Austria-Hungary
Józef Ignacy Kraszewski	1812	1887	Duchy of Warsaw/Switzerland
Louisa Anne Meredith	1812	1895	England/Australia
Manuel Ancízar	1812	1882	Colombia
Marguerite St. Leon Loud	1812	1889	US
Mary Maxwell Campbell	1812	1886	Scotland
Peter Christen Asbjørnsen	1812	1885	Norway
Robert Browning	1812	1889	England/Italy
Samo Chalupka	1812	1883	Austria-Hungary/Hungary
Vakhtang Orbeliani	1812	1890	Russian E
Zygmunt Krasi	1812	1859	France
Alfred Gatty	1813	1903	England
Camilla Collett	1813	1895	Norway
Cezar Bolliac	1813	1881	Wallachia/Romania
Charles Harpur	1813	1868	Australia
Christian Friedrich Hebbel	1813	1863	Germany/Austria
Georg Büchner	1813	1837	Germany/Switzerland
Giorgi Eristavi	1813	1864	Russian E
Hermann Kurz	1813	1873	Germany
Ivar Aasen	1813	1896	Norway
James Bowling Mozley	1813	1878	England
John Burgon	1813	1888	England
Jørgen Moe	1813	1882	Norway
József Eötvös	1813	1871	Hungary
Louise-Victorine Ackermann	1813	1890	France
Ludwig Leichhardt	1813	1848	
Nikolay Ogarev	1813	1877	Russian E
Otto Ludwig	1813	1865	Germany
Petar II Petrovic'-Njegosv	1813	1851	Montenegro
Robert Mackenzie Daniel	1813	1847	Scotland/Jersey
Samo Tomásvik	1813	1887	Austria-Hungary/Hungary
Samuel Sidney	1813	1883	England
Søren Kierkegaard	1813	1855	Denmark
Valérie de Gasparin	1813	1894	Switzerland
Vladimir Sollogub	1813	1882	Russian E
William Ambrose	1813	1873	Wales
William Watkiss Lloyd	1813	1893	England
Bhanubhakta Acharya	1814	1868	Nepal
Charles Reade	1814	1884	England
Ede Szigligeti	1814	1878	Austria-Hungary
Edward Eastwick	1814	1883	England
Emma Robinson	1814	1890	England
Franz von Dingelstedt	1814	1881	Germany/Austria
Friedrich Kaiser	1814	1874	Austria
George Dennis	1814	1898	England
George W. M. Reynolds	1814	1879	England
Gertrudis Gómez de Avellaneda	1814	1873	Cuba/Spain
János Erdélyi	1814	1868	Austria-Hungary
John Colenso	1814	1883	England
Jules Quicherat	1814	1882	France
Marie Colban	1814	1884	Norway
Mikhail Lermontov	1814	1841	Russian E
Nicolaas Beets	1814	1903	Netherlands
Pierce Egan the Younger	1814	1880	England
Taras Shevchenko	1814	1861	Russian E
William Henry Giles Kingston	1814	1880	England
William Williams (Creuddynfab)	1814	1869	Wales
Zsigmond Kemény	1814	1875	Hungary
Adélaïde-Louise d'Eckmühl de Blocqueville	1815	1892	France
Adolf Friedrich von Schack	1815	1894	Germany/Italy
Ana Marija Marovic'	1815	1887	Italy/Montenegro
Anna Hanson Dorsey	1815	1896	US
Anne Lynch Botta	1815	1891	US
Anthony Trollope	1815	1882	England
Dimitrije Avramovic'	1815	1855	Serbia
Edward Forbes	1815	1854	Isle of Man
Elisabeth Welhaven	1815	1901	Norway
Elizabeth Missing Sewell	1815	1906	England
Emanuel Geibel	1815	1884	Germany
Ernst Elias Niebergall	1815	1843	Germany
Frederick Apthorp Paley	1815	1888	England
George Boole	1815	1864	England
Gottfried Kinkel	1815	1882	Germany/Switzerland 
Hans Peter Keller	1815	1888	Germany
Hermann Goedsche	1815	1878	Germany/Poland
ít Svtúr	1815	1856	Austria-Hungary
Lavrenti Ardaziani	1815	1870	Russian E
Martins Pena	1815	1848	Brazil
Petr Ershov	1815	1869	Russian E
Richard William Church	1815	1890	England
Rufus Wilmot Griswold	1815	1857	US
Thomas Rees	1815	1885	Wales
Walter Farley	1815	1889	US
William Ballantyne Hodgson	1815	1880	Scotland
William Conybeare	1815	1857	England
Anne Beale	1816	1900	England/Wales
Charlotte Brontë	1816	1855	England
Djordje Maletic'	1816	1888	Austrian E/Serbia
Ernst Keil	1816	1878	Germany
Frances Browne	1816	1879	Ireland
Friedrich Gerstäcker	1816	1872	Germany
Friedrich Wilhelm Hackländer	1816	1877	Germany
Grace Aguilar	1816	1947	England/Germany
Gustav Freytag	1816	1895	Germany
Henry Lonsdale	1816	1876	England
Ion Ghica	1816	1897	Wallachia/Romania
John Ernest Bode	1816	1874	England
Kawatake Mokuami	1816	1893	Japan
Mato Vodopic'	1816	1893	Austria-Hungary
Philip James Bailey	1816	1902	England
Robert Prutz	1816	1872	Germany
Shirley Brooks	1816	1874	England
Theodosia Trollope	1816	1865	England/Italy
Thomas Saunders Evans	1816	1889	England
Timothy L. Murphy	1816	1897	US
Wolfgang Müller von Königswinter	1816	1873	Germany
Edwin Waugh	1817	1890	England
Emily Mary Barton	1817	1909	Australia
Frederick Douglass	1817	1895	US
Georg Herwegh	1817	1875	Germany
George Holyoake	1817	1906	England
George Webbe Dasent	1817	1896	England
Georgi Pulevski	1817	1895	Ottoman E/Bulgaria
Henry David Thoreau	1817	1862	US
János Arany	1817	1882	Hungary
Johannes Scherr	1817	1886	Germany/Switzerland
John Richardson	1817	1886	England
Jozef Miloslav Hurban	1817	1888	Austria-Hungary
Konstantin Aksakov	1817	1860	Russian E
L. J. Smith	1817	1887	US
Mary Martin	1817	1884	England/N Zealand
Nikoloz Baratashvili	1817	1845	Russian E
Ognjeslav Utjesvenovic'	1817	1890	Austrian E
Raffaello Carboni	1817	1875	Italy
Theodor Storm	1817	1888	Germany
Aasmund Olavsson Vinje	1818	1870	Norway
Alexander Bain	1818	1903	Scotland
Daniel Silvan Evans	1818	1903	Wales
Edward Meredith Cope	1818	1873	England
Eliza Cook	1818	1889	England
Elizabeth Keckley	1818	1907	US
Emily Brontë	1818	1848	England
Hamlet Watling	1818	1908	England
Horace Marryat	1818	1887	England
Ivan Bogorov	1818	1892	Bulgaria
Ivan Turgenev	1818	1883	Russian E
James Anthony Froude	1818	1894	England
Jón Thoroddsen	1818	1868	
José Mármol	1818	1871	Argentina
Joseph Cundall	1818	1895	England
Joseph Jenkins	1818	1898	Wales/Australia
Juana Manuela Gorriti	1818	1892	Argentina
Karl Marx	1818	1883	Germany/England
Leconte de Lisle	1818	1894	France
Leopold Hartley Grindon	1818	1904	England
Mary Bell Smith	1818	1894	US
Matija Ban	1818	1903	Austrian E/Serbia
Thomas Mayne Reid	1818	1883	Ireland/US
Wilhelm Herchenbach	1818	1889	Germany
William Ellery Channing	1818	1901	
William Forster	1818	1882	India/Australia
Zachris Topelius	1818	1898	Finland
Agnieszka Baranowska	1819	1890	Prussian Poland
Alecu Russo	1819	1859	Moldavia/Romania
Alejandrina Benítez de Gautier	1819	1879	Puerto Rico
Alfred Elwes	1819	1888	England
Arthur Hugh Clough	1819	1861	England
Bernard Quaritch	1819	1899	Germany/England
Caroline Fox	1819	1871	England
Charles Kingsley	1819	1875	England
Edward Capern	1819	1894	England
Gottfried Keller	1819	1890	Switzerland
Herman Melville	1819	1891	US
Hermógenes Irisarri	1819	1896	Chile
Hugh Andrew Johnstone Munro	1819	1885	Scotland/Italy
James Russell Lowell	1819	1891	US
John Ruskin	1819	1900	England
Jón Árnason	1819	1888	Iceland
Julia Ward Howe	1819	1910	US
Klaus Groth	1819	1899	Denmark/Germany
Maria Louisa Charlesworth	1819	1880	England
Max Schneckenburger	1819	1849	Germany/Switzerland
Mihály Tompa	1819	1868	Hungary
Montagu Burrows	1819	1905	England
Nicolae Filimon	1819	1865	Wallachia/Romania
Theodor Fontane	1819	1898	Germany
Vasa Zvivkovic'	1819	1891	Habsburg E/Austria-Hungary
Walt Whitman	1819	1892	US
William Powell Frith	1819	1909	England
Afanasiy Fet	1820	1892	Russian E
Alexander Beresford Hope	1820	1887	England
Alice Cary	1820	1871	US
Anna Sewell	1820	1878	England
Anne Brontë	1820	1849	England
Anne Evans	1820	1870	England
Apollo Korzeniowski	1820	1889	Russian E/Austria-Hungary
Charles James Collins	1820	1864	England
Dalpatram	1820	1898	Mughal Empire/India
Dion Boucicault	1820	1890	Ireland/US
Ebenezer Jones	1820	1860	England
Edward Litt Laman Blanchard	1820	1889	England
Edwin Gifford	1820	1905	England
Frances Minto Elliot	1820	1898	
Friedrich Engels	1820	1895	Germany/England
Georges Jean	1820	1911	France
Grímur Thomsen	1820	1896	Iceland
Ishwar Chandra Vidyasagar	1820	1891	India
James Ewing Ritchie	1820	1898	England
Jean Ingelow	1820	1897	England
Joaquim Manuel de Macedo	1820	1882	Brazil
John Postgate	1820	1821	England
Joseph Albert Alberdingk Thijm	1820	1889	Netherlands
Michel Lentz	1820	1893	Luxembourg
Mirko Petrovic'-Njegosv	1820	1867	Montenegro
Mkrtich Khrimian	1820	1907	Ottoman E/Russian E
Niko Pucic'	1820	1883	Austrian E
Sava Dobroplodni	1820	1894	Bulgaria
Tamairangi	1820	1828	N Zealand
Alexey Pisemsky	1821	1881	Russian E
Antonio de Trueba	1821	1889	Spain
Bartolomé Mitre	1821	1906	Argentina
Charles Baudelaire	1821	1867	France
Charlotte Godley	1821	1907	N Zealand
Charlotte Maria Tucker	1821	1893	England
Cyprian Norwid	1821	1883	Russian E/France
Dora Greenwell	1821	1882	England
Elizabeth Fairburn Colenso	1821	1904	N Zealand
Ferdinand Gregorovius	1821	1891	Germany
Frederick Locker-Lampson	1821	1895	England
Fyodor Dostoevsky	1821	1881	Russian E
Gustave Flaubert	1821	1880	France
Gyandil Das	1821	1883	Nepal
Henry Thomas Buckle	1821	1862	England
Hermann Allmers	1821	1902	Germany
Isabella Banks	1821	1897	England
Ludwig Pfau	1821	1894	Germany
Maria White Lowell	1821	1853	US
Medo Pucic'	1821	1882	Austrian E
Moritz Hartmann	1821	1872	Austrian E/Germany
Nikolay Nekrasov	1821	1878	Russian E
Princess Anka Obrenovic'	1821	1868	Serbia
Richard Francis Burton	1821	1990	England
Samuel Baker	1821	1893	England
Vasile Alecsandri	1821	1890	Moldavia/Romania
William George Clark	1821	1878	England
William Hepworth Dixon	1821	1979	England
Donald Grant Mitchell	1822	1908	US
Douglas Galton	1822	1899	England
Edmond de Goncourt	1822	1896	France
Edwin Arnold	1822	1904	England
Eliza Lynn Linton	1822	1898	England
Ernle Bradford	1822	1886	England/Malta
Francis Galton	1822	1911	England
George Lippard	1822	1854	US
Henri Murger	1822	1861	France
Henry Hall Dixon	1822	1870	England
Henry Morley	1822	1894	England
Hubert Ashton Holden	1822	1896	England
Jacob Vita Pardo	1822	1843	Austrian Empire/Ragusa
Jakov Ignjatovic'	1822	1889	Serbia
Jakub Grajchman	1822	1897	Austria-Hungary/Hungary
James Parton	1822	1891	England/US
Leopold Kompert	1822	1886	Austrian E
Matthew Arnold	1822	1888	England
Miguel Riofrío	1822	1879	Ecuador
Rosa Guy	1822	1912	Trinidad/US
Thomas Hughes	1822	1896	England
Ahmet Vefik Pa	1823	1891	Turkey
Alexander Ostrovsky	1823	1886	Russian E
Anna Laetitia Waring	1823	1910	Wales/England
Augusta Theodosia Drane	1823	1894	England
Charlotte Mary Yonge	1823	1901	England
Coventry Patmore	1823	1896	England
Edward Augustus Freeman	1823	1892	England/Spain
Edward Pollock	1823	1858	US
Ezra Chadza	1823	1885	Nyasaland/Malawi
Godfrey Thring	1823	1903	England
Gonçalves Dias	1823	1864	Brazil
Imre Madách	1823	1864	Hungary
James Riddell	1823	1866	England
Jan Zachariasiewicz	1823	1906	Austrian E
John Evans	1823	1908	England
John Purchas	1823	1872	England
John Reuben Thompson	1823	1873	US
Joseph Edkins	1823	1905	England/China
Kornel Ujejski	1823	1897	Austria-Hungary
Nayden Gerov	1823	1900	Bulgaria
Peter Wildeblood	1823	1899	England/Canada
Rowland Williams (Hwfa Môn)	1823	1905	Wales
Sándor Peto''fi	1823	1849	Hungary/Transylvania
Sarah Maria Barraud	1823	1895	N Zealand
Sh Ikenami	1823	1890	Japan
Simon Bacher	1823	1891	Hungary
Teréz Ferenczy	1823	1853	Austria-Hungary
Théodore de Banville	1823	1891	France
William Bragge	1823	1884	England
William Johnson Cory	1823	1892	England
Wl/adysl/aw Syrokomla	1823	1862	Russian E
Agustín Cuzzani	1824	1887	Argentina
Alexandre Dumas, fils	1824	1895	France
Amanda Bartlett Harris	1824	1917	US
Anna Harriett Drury	1824	1912	England
Anna Mary Howitt	1824	1884	England/Austria
Branko Radicvevic'	1824	1853	Serbia
Emil Czyrnia	1824	1888	Poland
Francis Turner Palgrave	1824	1897	England
George MacDonald	1824	1905	Scotland/England
Henry Schütz Wilson	1824	1902	England
Ignatz Lichtenstein	1824	1908	Hungary
James Lionel Michael	1824	1868	England/Australia
Jovan Ilic'	1824	1901	Serbia
Katharine Sarah Macquoid	1824	1917	England
Michael Madhusudan Dutt	1824	1873	India
Phoebe Cary	1824	1871	US
Raphael Eristavi	1824	1901	Russian E
Robert Jones Derfel	1824	1905	Wales/England
Sarah Maria Clinton Perkins	1824	1905	US
Stjepan Mitrov Ljubisva	1824	1878	Austria E/Austria-Hungary
Sydney Thompson Dobell	1824	1874	England
Wilkie Collins	1824	1889	England
William Allingham	1824	1889	Ireland
Annie Keary	1825	1879	England
Bernardo Guimarães	1825	1884	Brazil
Camilo Castelo Branco	1825	1890	Portugal
Catherine Helen Spence	1825	1910	Scotland/Australia
Conrad Ferdinand Meyer	1825	1898	Switzerland
E. J. Richmond	1825	1918	US
Eleazar Roberts	1825	1912	Wales/England
Emma Jane Guyton	1825	1887	England
Frederick James Furnivall	1825	1910	England
Henry Walter Bates	1825	1892	England
Isabella Gifford	1825	1891	Wales/England
John E. B. Mayor	1825	1910	Ceylon/England
Jovan Sundecvic'	1825	1900	Ottoman E/Montenegro
Leicester Silk Buckingham	1825	1867	England
Mór Jókai	1825	1904	Hungary
Mordecai Cubitt Cooke	1825	1914	England
R. D. Blackmore	1825	1900	England
R. M. Ballantyne	1825	1894	Scotland/England
Rajkovic'	1825	1886	Austrian E/Serbia
Thomas Henry Huxley	1825	1895	England
Thomas Levi	1825	1916	Wales
Walter Gregor	1825	1897	Scotland
William Billington	1825	1884	England
William McGonagall	1825	1902	Ireland/Scotland
Adolphe Joseph Carcassonne	1826	1891	France
Alejandro Tapia y Rivera	1826	1882	Puerto Rico
Bogoboj Atanackovic'	1826	1858	Hungary/Serbia
Carlo Collodi	1826	1890	Italy
Conrad Busken Huet	1826	1886	Netherlands
Denys Corbet	1826	1909	Guernsey
Frank Marryat	1826	1855	England
George Kingsley	1826	1892	England
Herbert William Fisher	1826	1903	England
José María del Campo	1826	1884	Argentina
Joseph Victor von Scheffel	1826	1886	Germany
Jovan '	1826	1900	Austrian E/Serbia
Leonard Kip	1826	1906	US
Lord Dufferin	1826	1902	England
Mikhail Saltykov-Shchedrin	1826	1889	Russian E
Walter Bagehot	1826	1887	England
Andrew Leith Adams	1827	1882	Scotland/Ireland
August Silberstein	1827	1900	Austria-Hungary
Barbara Bodichon	1827	1891	England
Caroline Leakey	1827	1881	England
Charles De Coster	1827	1879	Germany/Belgium
Edward Bradley	1827	1889	England
Ellen G. White	1827	1915	US
George Alfred Lawrence	1827	1876	England
George Alfred Lawrence	1827	1876	England/Scotland
Goffredo Mameli	1827	1949	Italy
Hester Chapone	1827	1901	England
János Vajda	1827	1897	Hungary
Johanna Spyri	1827	1901	Switzerland
John Medley Wood	1827	1915	England/S Africa
Julia Pleasants Creswell	1827	1886	US
